time_s,rppg,ppg
1762522911.622375,-0.582188,-0.072495
1762522911.655709,-0.652205,-0.071868
1762522911.689043,-0.535930,-0.041424
1762522911.722377,-0.329114,0.001406
1762522911.755710,0.002268,0.035762
1762522911.789044,0.307115,0.043119
1762522911.822377,0.513752,0.012108
1762522911.855711,0.435787,-0.058656
1762522911.889045,0.243637,-0.160197
1762522911.922378,-0.120685,-0.275197
1762522911.955712,-0.420757,-0.382037
1762522911.989046,-0.565903,-0.460035
1762522912.022379,-0.576307,-0.494626
1762522912.055713,-0.235446,-0.480910
1762522912.089046,0.114427,-0.424192
1762522912.122380,0.589159,-0.337268
1762522912.155714,0.950107,-0.337268
1762522912.189047,1.259118,-0.337268
1762522912.222381,1.257229,-0.337268
1762522912.255715,1.267698,-0.337268
1762522912.289048,0.234328,-0.029890
1762522912.322382,-0.044154,-0.373392
1762522912.355716,-0.553850,-0.691656
1762522912.389049,-1.208614,-0.909181
1762522912.422383,-1.733515,-0.971050
1762522912.455716,-1.898803,-0.857926
1762522912.489050,-1.482981,-0.588685
1762522912.522384,-0.597259,-0.211534
1762522912.555717,0.606604,0.209872
1762522912.589051,1.673290,0.608486
1762522912.622385,2.383700,0.921791
1762522912.655718,2.449920,1.097855
1762522912.689052,2.037496,1.102771
1762522912.722385,1.294114,0.929668
1762522912.755719,0.583503,0.605508
1762522912.789053,-0.033098,0.190129
1762522912.822386,-0.436520,-0.235550
1762522912.855720,-0.810100,-0.589844
1762522912.889054,-1.097972,-0.811751
1762522912.922387,-1.350039,-0.874816
1762522912.955721,-1.390151,-0.788211
1762522912.989054,-1.190314,-0.586256
1762522913.022388,-0.656600,-0.313223
1762522913.055722,0.032449,-0.011629
1762522913.089055,0.743277,0.281348
1762522913.122389,1.136623,0.530871
1762522913.155723,1.242795,0.701113
1762522913.189056,1.012699,0.757972
1762522913.222390,0.731574,0.679562
1762522913.255723,0.412323,0.469812
1762522913.289057,0.203162,0.166606
1762522913.322391,-0.113217,-0.162635
1762522913.355724,-0.495398,-0.438836
1762522913.389058,-1.048445,-0.596214
1762522913.422392,-1.522069,-0.603701
1762522913.455725,-1.752774,-0.473736
1762522913.489059,-1.425147,-0.255429
1762522913.522393,-0.613210,-0.016309
1762522913.555726,0.535241,0.178793
1762522913.589060,1.482107,0.283707
1762522913.622393,1.916496,0.278044
1762522913.655727,1.516252,0.166757
1762522913.689061,0.535156,-0.024140
1762522913.722394,-0.735225,-0.252871
1762522913.755728,-1.713715,-0.468031
1762522913.789062,-2.159221,-0.617065
1762522913.822395,-1.869963,-0.657750
1762522913.855729,-1.110071,-0.570463
1762522913.889063,-0.113843,-0.366427
1762522913.922396,0.705011,-0.087063
1762522913.955730,1.195202,0.207213
1762522913.989064,1.268160,0.455509
1762522914.022397,1.098683,0.615172
1762522914.055731,0.794563,0.673188
1762522914.089064,0.507404,0.646108
1762522914.122398,0.273333,0.569535
1762522914.155732,0.219525,0.482526
1762522914.189065,0.261670,0.413617
1762522914.222399,0.402278,0.373407
1762522914.255733,0.487229,0.355064
1762522914.289066,0.563520,0.340767
1762522914.322400,0.538468,0.310458
1762522914.355733,0.451382,0.249474
1762522914.389067,0.241363,0.152928
1762522914.422401,0.037944,0.026275
1762522914.455734,-0.198928,-0.117369
1762522914.489068,-0.372553,-0.261853
1762522914.522402,-0.537668,-0.393028
1762522914.555735,-0.644647,-0.502506
1762522914.589069,-0.743407,-0.588745
1762522914.622402,-0.784800,-0.654924
1762522914.655736,-0.783058,-0.704491
1762522914.689070,-0.760864,-0.736449
1762522914.722403,-0.736615,-0.742776
1762522914.755737,-0.765721,-0.709411
1762522914.789071,-0.813595,-0.620540
1762522914.822404,-0.839253,-0.464475
1762522914.855738,-0.765120,-0.238928
1762522914.889071,-0.505114,0.045779
1762522914.922405,-0.047144,0.365884
1762522914.955739,0.592385,0.685367
1762522914.989072,1.212364,0.959008
1762522915.022406,1.728452,1.137947
1762522915.055740,1.938467,1.178523
1762522915.089073,1.841384,1.054024
1762522915.122407,1.416702,0.766550
1762522915.155740,0.778815,0.354114
1762522915.189074,-0.022150,-0.111881
1762522915.222408,-0.856462,-0.540652
1762522915.255741,-1.599183,-0.844428
1762522915.289075,-2.088887,-0.961764
1762522915.322409,-2.160497,-0.873285
1762522915.355742,-1.679848,-0.604451
1762522915.389076,-0.720466,-0.215658
1762522915.422410,0.540118,0.214967
1762522915.455743,1.659375,0.608902
1762522915.489077,2.372206,0.899628
1762522915.522410,2.422777,1.039264
1762522915.555744,1.897472,1.001966
1762522915.589078,0.977651,0.786971
1762522915.622411,0.073820,0.421605
1762522915.655745,-0.598830,-0.038536
1762522915.689079,-0.963725,-0.516034
1762522915.722412,-1.140729,-0.926215
1762522915.755746,-1.293764,-1.196839
1762522915.789079,-1.483517,-1.286059
1762522915.822413,-1.699403,-1.191291
1762522915.855747,-1.734332,-0.945359
1762522915.889081,-1.404509,-0.602246
1762522915.922414,-0.687264,-0.219585
1762522915.955748,0.298428,0.154245
1762522915.989081,1.193564,0.484169
1762522916.022415,1.739811,0.745058
1762522916.055749,1.765273,0.916609
1762522916.089082,1.423767,0.982216
1762522916.122416,0.844029,0.933827
1762522916.155750,0.367021,0.779650
1762522916.189083,0.112016,0.548675
1762522916.222417,0.055030,0.287165
1762522916.255750,0.030517,0.046710
1762522916.289084,-0.036589,-0.131645
1762522916.322418,-0.243688,-0.230186
1762522916.355751,-0.489036,-0.258556
1762522916.389085,-0.648998,-0.247582
1762522916.422419,-0.564811,-0.236088
1762522916.455752,-0.317816,-0.256452
1762522916.489086,0.026094,-0.324244
1762522916.522419,0.231733,-0.434643
1762522916.555753,0.165911,-0.565119
1762522916.589087,-0.260329,-0.681894
1762522916.622420,-0.857335,-0.747572
1762522916.655754,-1.428916,-0.728494
1762522916.689088,-1.677767,-0.601522
1762522916.722421,-1.466687,-0.360171
1762522916.755755,-0.781719,-0.019148
1762522916.789088,0.188206,0.384513
1762522916.822422,1.224152,0.795443
1762522916.855756,2.057418,1.149323
1762522916.889089,2.510891,1.385753
1762522916.922423,2.435080,1.461157
1762522916.955757,1.992028,1.358031
1762522916.989090,1.234110,1.088248
1762522917.022424,0.475561,0.690147
1762522917.055758,-0.258263,0.220867
1762522917.089091,-0.739913,-0.253859
1762522917.122425,-1.080299,-0.670327
1762522917.155758,-1.260873,-0.976351
1762522917.189092,-1.403009,-1.138649
1762522917.222426,-1.471661,-1.147415
1762522917.255759,-1.469930,-1.017418
1762522917.289093,-1.280654,-0.785072
